Date,Open,High,Low,Close,Adj Close,Volume
10/23/2015,99.739998,100.669998,99.400002,100.5,97.389915,896900
10/26/2015,100.5,101.120003,99.989998,100.970001,97.845375,379700
10/27/2015,100.25,100.980003,99.300003,99.410004,96.333649,588100
10/28/2015,99.690002,100.389999,98.779999,100.389999,97.283318,1146900
10/29/2015,100.139999,101.800003,99.610001,101.529999,98.388039,930200
10/30/2015,98.599998,100.720001,96.110001,96.160004,93.184212,1724500
11/2/2015,95,96.519997,94.199997,96.449997,93.465248,3106900
11/3/2015,96.120003,99.239998,95.870003,99.199997,96.130135,1761100
11/4/2015,99.199997,100.110001,99.169998,99.629997,96.546822,1507500
11/5/2015,100.110001,101.919998,99.389999,101.599998,98.455872,1239300
11/6/2015,102.050003,102.599998,101.199997,102.550003,99.376472,2239300
11/9/2015,102.349998,102.519997,99.870003,100.379997,97.273628,1865300
11/10/2015,99.830002,100.459999,99.330002,100.099998,97.002281,1582300
11/11/2015,100.639999,101.080002,99.919998,100.730003,97.612808,971200
11/12/2015,99.870003,101.110001,99.029999,99.400002,96.323952,2992900
11/13/2015,99.599998,99.599998,96.389999,96.900002,93.901321,2056100
11/16/2015,96.610001,98.139999,96.07,98.089996,95.054489,1309400
11/17/2015,99.300003,102.540001,98.82,101.199997,98.068253,2234800
11/18/2015,101.449997,103.290001,99.139999,103.199997,100.343475,1271400
11/19/2015,103.260002,103.68,102.699997,103.43,100.567116,995300
11/20/2015,103.809998,104.629997,103.400002,104.339996,101.451935,1224400
11/23/2015,104.550003,104.830002,104.050003,104.169998,101.286621,1385500
11/24/2015,103.330002,103.75,102.940002,103.489998,100.625443,970500
11/25/2015,103.730003,103.779999,102.449997,102.879997,100.032341,823500
11/27/2015,103.169998,104.019997,102.739998,103.790001,100.917152,486300
11/30/2015,103.75,104.089996,102.970001,103.120003,100.265686,1188200
12/1/2015,103.489998,103.809998,102.589996,103.440002,100.576836,1165200
12/2/2015,103.599998,103.699997,102.629997,102.900002,100.051788,1055000
12/3/2015,103.129997,103.349998,101.089996,101.360001,98.554413,1980500
12/4/2015,101.690002,104.050003,101.480003,104.019997,101.140778,928100
12/7/2015,103.050003,104.230003,103,104.050003,101.16996,2068800
12/8/2015,102.980003,103.580002,101.370003,101.489998,98.680817,1200800
12/9/2015,100.970001,102.32,99.239998,99.339996,96.590324,1249700
12/10/2015,99.699997,100.260002,99.379997,99.529999,96.775055,670700
12/11/2015,98.25,98.949997,95.220001,95.730003,93.080238,2050000
12/14/2015,96.010002,97,95.370003,96.779999,94.101181,1435600
12/15/2015,97.870003,99.889999,97.190002,98.660004,95.929161,2099400
12/16/2015,99.379997,100.32,98.059998,99.32,96.570869,1517800
12/17/2015,99.580002,100.389999,97.82,97.879997,95.170738,923000
12/18/2015,97.190002,98.160004,96.699997,97.459999,94.76236,1829400
12/21/2015,98.169998,99.580002,98.07,99.209999,96.463928,1266300
12/22/2015,99.529999,99.529999,98,99.029999,96.28891,639700
12/23/2015,99.300003,100.309998,98.93,99.849998,97.086212,576500
12/24/2015,99.400002,100.660004,99.239998,100.110001,97.339005,240200
12/28/2015,99.959999,100.739998,99.459999,100.660004,97.873795,465600
12/29/2015,101.32,101.690002,100.18,101.559998,98.748863,545300
12/30/2015,101.449997,102.129997,101.07,101.110001,98.311333,516700
12/31/2015,100.800003,101.860001,100.32,100.339996,97.562645,596000
1/4/2016,98.440002,98.699997,96.160004,97.220001,94.528999,1688300
1/5/2016,97.510002,99.089996,97.199997,98.57,95.841637,1525200
1/6/2016,96.900002,97.589996,96,96.809998,94.130348,1294200
1/7/2016,94.07,94.610001,92.099998,92.720001,90.153557,2793000
1/8/2016,93.199997,93.610001,89.980003,90.080002,87.586632,2660000
1/11/2016,90.919998,91.32,89.690002,90.860001,88.345047,2065900
1/12/2016,91.809998,91.860001,90.059998,91.169998,88.646469,1938000
1/13/2016,91.720001,91.889999,86.650002,87.110001,84.698845,2799800
1/14/2016,87.610001,88.800003,86.370003,88.120003,85.68087,3387300
1/15/2016,86.019997,86.709999,84.550003,85.989998,83.609848,2836100
1/19/2016,87.139999,87.980003,85.580002,86.43,84.037659,1906500
1/20/2016,84.860001,87.050003,82.089996,86.129997,83.745964,2578600
1/21/2016,86.57,87.610001,85.589996,85.800003,83.42511,1295200
1/22/2016,87.290001,88.459999,86.919998,88.419998,85.972588,1111900
1/25/2016,88.419998,88.93,86.610001,86.75,84.348801,1241600
1/26/2016,86.849998,88.529999,86.639999,88.330002,85.885063,915800
1/27/2016,88.150002,89.519997,87.589996,88.010002,85.573929,2063700
1/28/2016,88.769997,89.099998,86.790001,87.129997,84.718277,1357900
1/29/2016,88.089996,89.25,87.110001,89.139999,86.672661,2451700
2/1/2016,88.870003,89.199997,87.559998,88.010002,85.573929,1302500
2/2/2016,87.059998,87.059998,85.110001,85.629997,83.259804,1428500
2/3/2016,86.18,86.519997,83.209999,85.589996,83.220917,1323500
2/4/2016,85.440002,87.5,85.440002,87.110001,84.698845,2632100
2/5/2016,88.5,88.5,82.269997,83.699997,81.383224,2488800
2/8/2016,81.68,81.75,78.510002,79.379997,77.182808,2781100
2/9/2016,78.449997,80.580002,78.010002,80.029999,77.814812,1636600
2/10/2016,80.919998,82.839996,79.989998,80.07,77.853722,1199200
2/11/2016,78.230003,79.870003,77.760002,78.449997,76.278542,2259200
2/12/2016,79.800003,82.349998,79.260002,82.309998,80.031708,1816200
2/16/2016,83.839996,84.900002,82.32,83.720001,81.402679,1548700
2/17/2016,84.169998,85.93,83.68,85.720001,83.717308,1361000
2/18/2016,85.650002,86.199997,84.639999,85.730003,83.727074,1155300
2/19/2016,85.449997,85.970001,84.68,85.660004,83.658714,1011100
2/22/2016,86.470001,88.220001,86.239998,88.120003,86.061241,1104700
2/23/2016,87.529999,88.629997,86.669998,86.949997,84.918549,1309600
2/24/2016,85.900002,87.099998,83.709999,86.650002,84.625587,1300700
2/25/2016,86.720001,88.669998,86.720001,88.639999,86.569099,1238900
2/26/2016,88.349998,89.379997,88.139999,88.599998,86.530014,915000
2/29/2016,88.18,89.839996,87.949997,88.800003,86.725349,1460000
3/1/2016,89.57,93.230003,89.57,91.540001,89.401329,3205900
3/2/2016,90.879997,92.540001,90.82,92.300003,90.143585,1449900
